# Audited timed-out mutants: one line-less class,method,mutator key per member,
# each carrying an admissible cause. Only cause:liveness may remain in the set —
# the mutated path must have no path-owned finite completion guarantee. The
# structural argument per member lives in README.md under "Timed-out mutants
# (audited set)". Line numbers ride in comments only — drift must not churn
# membership.
#
# Reclassified 2026-08-06 against the current rule, from a history-free
# pitestServices observation. Every member below was observed TIMED_OUT in that
# run and is covered by a harness with no bounded failure path: the service loop
# is driven on the calling thread and stopped only by a collaborator's interrupt,
# so a mutant that starves the loop leaves nothing to end the wait.
#
# 26 former members were removed: their covering fixtures carried 5s deadlines
# that outlived PIT's watchdog budget (timeoutConst 1500ms + 2x runtime), so a
# bounded assertion failure was being relabelled TIMED_OUT. Lowering those
# deadlines turned them into deterministic kills — see AGENTS.md "Fixture
# deadlines must sit inside the watchdog budget".
#
# The two leaked-unlock members below were briefly retired on a single quiet
# observation and re-added when the next run fired them: both are KILLED <->
# TIMED_OUT drifters, so one quiet run is not retirement evidence.
systems.glam.services.db.sql.BatchSqlExecutorImpl,awaitBatchComplete,RemoveConditionalMutator_EQUAL_ELSE # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,awaitBatchComplete,RemoveConditionalMutator_EQUAL_IF # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,awaitBatchComplete,VoidMethodCallMutator # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,queue,ConditionalsBoundaryMutator # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,queue,RemoveConditionalMutator_EQUAL_ELSE # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,queue,RemoveConditionalMutator_EQUAL_IF # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,queue,RemoveConditionalMutator_ORDER_ELSE # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,queue,VoidMethodCallMutator # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,run,ConditionalsBoundaryMutator # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,run,IncrementsMutator # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,run,RemoveConditionalMutator_EQUAL_ELSE # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,run,RemoveConditionalMutator_EQUAL_IF # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,run,RemoveConditionalMutator_ORDER_ELSE # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,run,RemoveConditionalMutator_ORDER_IF # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.db.sql.BatchSqlExecutorImpl,run,VoidMethodCallMutator # cause:liveness the fake jdbc interrupts only after the Nth execution; a lost signal or trapped window leaves the executor short of it and awaitBatchComplete waiters never wake
systems.glam.services.fulfillment.BaseFulfillmentService,wakeUp,VoidMethodCallMutator # cause:liveness the await/wake protocol itself: a removed signalAll is a lost wake-up with no bound
systems.glam.services.rpc.AccountFetcherImpl,queue,RemoveConditionalMutator_EQUAL_ELSE # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,queue,VoidMethodCallMutator # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,queueBatchable,ConditionalsBoundaryMutator # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,queueBatchable,RemoveConditionalMutator_ORDER_ELSE # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,queueBatchable,RemoveConditionalMutator_ORDER_IF # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,queueBatchable,VoidMethodCallMutator # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,queueUnique,RemoveConditionalMutator_EQUAL_ELSE # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,queueUnique,VoidMethodCallMutator # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,run,RemoveConditionalMutator_EQUAL_ELSE # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,run,VoidMethodCallMutator # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.rpc.AccountFetcherImpl,validBatch,BooleanFalseReturnValsMutator # cause:liveness harness drives run() on the calling thread; the fake rpc interrupts only after the Nth batch lands, so a starved queue means the interrupt never fires and run() never returns
systems.glam.services.state.GlobalConfigCacheImpl,awaitNewGlobalConfig,RemoveConditionalMutator_ORDER_ELSE # cause:liveness the refresh window's waiter protocol: a lost signal parks awaitNewGlobalConfig with no bound
systems.glam.services.state.GlobalConfigCacheImpl,run,VoidMethodCallMutator # cause:liveness the refresh window's waiter protocol: a lost signal parks awaitNewGlobalConfig with no bound
systems.glam.services.state.GlobalConfigCacheImpl,topPriorityForMintChecked,VoidMethodCallMutator # cause:liveness removed readLock.unlock() in the finally leaks the read lock; the decimals-mismatch path then parks the same thread on writeLock.lock(), and a read-to-write upgrade is impossible on a ReentrantReadWriteLock line 145
systems.glam.services.state.MinGlamStateAccount,delegateAclsOffset,RemoveConditionalMutator_ORDER_ELSE # cause:liveness removes the outer integration-acl loop's exit jump, so the walk never terminates; first observed under gate load line 91
systems.glam.services.state.MinGlamStateAccount,externalPositionsOffset,RemoveConditionalMutator_ORDER_ELSE # cause:liveness removes the outer delegate-walk loop's exit jump, so the walk never terminates line 124
